epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.6005826592445374;0.867684543132782;0.001;0.7296364307403564;0.8435461521148682
1;0.6519516706466675;0.8316517472267151;0.001;0.8557620644569397;0.8005838990211487
2;0.6877551674842834;0.8111888766288757;0.001;0.8246767520904541;0.8027324080467224
3;0.7152700424194336;0.8032205104827881;0.001;0.8565042614936829;0.7900868058204651
4;0.7226017117500305;0.7991160154342651;0.001;0.8594152927398682;0.7875128388404846
5;0.7142488360404968;0.7973563075065613;0.001;0.8739280700683594;0.7821723818778992
6;0.7201929092407227;0.7954968214035034;0.001;0.8736821413040161;0.7822239398956299
7;0.7273174524307251;0.7938233017921448;0.001;0.8922840356826782;0.7754532098770142
8;0.7293445467948914;0.7910542488098145;0.001;0.8962060213088989;0.7750599384307861
9;0.7255622744560242;0.7908629179000854;0.001;0.8647630214691162;0.7957866191864014
10;0.7295984625816345;0.7894783616065979;0.001;0.8829101324081421;0.7776663303375244
11;0.7370944023132324;0.7871890068054199;0.001;0.8863018751144409;0.776576578617096
12;0.7376345992088318;0.788115382194519;0.001;0.9006147980690002;0.771849513053894
13;0.732724130153656;0.7879663705825806;0.001;0.8949376344680786;0.773015022277832
14;0.7359192371368408;0.7878804802894592;0.001;0.8935796022415161;0.7744914293289185
15;0.7366262674331665;0.7868316769599915;0.001;0.8838191628456116;0.7771553993225098
16;0.7382411956787109;0.7869601249694824;0.001;0.8972726464271545;0.7721971869468689
17;0.7362316250801086;0.7859458923339844;0.001;0.8826867341995239;0.7778355479240417
18;0.7421701550483704;0.7837775945663452;0.001;0.8874987363815308;0.775392472743988
19;0.7434204816818237;0.7836061120033264;0.001;0.9009515047073364;0.7734915018081665
20;0.7489198446273804;0.7825793623924255;0.001;0.8963520526885986;0.772917628288269
21;0.7455172538757324;0.7835677266120911;0.001;0.8938288688659668;0.7729537487030029
22;0.7475411891937256;0.7833415269851685;0.001;0.8954867720603943;0.7734420895576477
23;0.7486140131950378;0.7815300822257996;0.000100000005;0.8995879888534546;0.7709370255470276
