epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.6916759610176086;0.8314704895019531;0.001;0.7803834676742554;0.8212644457817078
1;0.7125575542449951;0.806102454662323;0.001;0.887335479259491;0.7795876860618591
2;0.7193648219108582;0.8006994128227234;0.001;0.8943291902542114;0.776093065738678
3;0.7195860147476196;0.7977754473686218;0.001;0.843826174736023;0.7834398150444031
4;0.7215325832366943;0.7950415015220642;0.001;0.899161159992218;0.7716659307479858
5;0.7269112467765808;0.7945063710212708;0.001;0.8854882717132568;0.7759362459182739
6;0.7315989136695862;0.7919575572013855;0.001;0.8994543552398682;0.7714049816131592
7;0.7323970198631287;0.790848970413208;0.001;0.888019859790802;0.7750709652900696
8;0.7329239249229431;0.7884215712547302;0.001;0.9008347392082214;0.7700985670089722
9;0.7351647019386292;0.790216863155365;0.001;0.9002220630645752;0.7710230946540833
10;0.738815426826477;0.7877733111381531;0.001;0.8938004374504089;0.7727398872375488
11;0.7375853061676025;0.7866224050521851;0.001;0.8951245546340942;0.77222740650177
12;0.7368544340133667;0.7863557934761047;0.001;0.8971567749977112;0.7708935141563416
13;0.7378979325294495;0.7859756946563721;0.001;0.9006204009056091;0.769969642162323
14;0.7355297803878784;0.7851826548576355;0.001;0.8965758085250854;0.7710552215576172
15;0.7344459295272827;0.7855074405670166;0.001;0.8980529308319092;0.770441472530365
16;0.7381556034088135;0.7855738401412964;0.001;0.8994170427322388;0.7701573967933655
17;0.7386313676834106;0.7852268815040588;0.001;0.8968673348426819;0.771725594997406
18;0.7414935827255249;0.7850419282913208;0.001;0.8975319266319275;0.7707723379135132
19;0.7439638376235962;0.7830176949501038;0.001;0.8990041613578796;0.7703443765640259
20;0.7424396872520447;0.784459114074707;0.001;0.8990352153778076;0.7697071433067322
21;0.7446746826171875;0.783010721206665;0.001;0.8976805210113525;0.7712832093238831
22;0.7473134398460388;0.782559871673584;0.001;0.9026950001716614;0.7692018151283264
23;0.7452930212020874;0.7841749787330627;0.001;0.9024840593338013;0.7695997357368469
24;0.7504853010177612;0.7821666598320007;0.001;0.8992331624031067;0.7704219222068787
25;0.7516626715660095;0.7826118469238281;0.001;0.9023311734199524;0.7693547010421753
26;0.7477778196334839;0.7815955281257629;0.001;0.9044496417045593;0.7688820958137512
27;0.7472878694534302;0.7808064222335815;0.001;0.9007880687713623;0.769316554069519
28;0.7533419132232666;0.7808735966682434;0.001;0.9025561809539795;0.7692029476165771
29;0.7551788687705994;0.7814195156097412;0.001;0.9034228324890137;0.767812967300415
30;0.7441717386245728;0.7809370160102844;0.001;0.9010993242263794;0.7656158804893494
31;0.7504072189331055;0.7804715037345886;0.001;0.9028667211532593;0.7680882811546326
32;0.7486986517906189;0.7791022062301636;0.001;0.9069706797599792;0.7672659158706665
33;0.7474381923675537;0.7815603613853455;0.001;0.898439884185791;0.7700022459030151
34;0.7505718469619751;0.7795752882957458;0.001;0.8995387554168701;0.7704883217811584
35;0.7548984289169312;0.7808122038841248;0.001;0.9033262133598328;0.7683914303779602
36;0.7486037611961365;0.7783397436141968;0.001;0.9045814275741577;0.767987847328186
37;0.7517136335372925;0.77967369556427;0.001;0.903806209564209;0.7671348452568054
38;0.7499958276748657;0.7798542976379395;0.001;0.9020796418190002;0.768953800201416
39;0.7556297183036804;0.7795478701591492;0.001;0.9023246169090271;0.7690157294273376
40;0.7561032176017761;0.7793410420417786;0.001;0.9010471701622009;0.7630652189254761
41;0.7489312887191772;0.7790037393569946;0.001;0.9008179903030396;0.7697086334228516
42;0.7590674161911011;0.7781941294670105;0.001;0.9044309258460999;0.7668479681015015
43;0.7546770572662354;0.7790620923042297;0.001;0.8995628356933594;0.7700332999229431
44;0.7533275485038757;0.7795751094818115;0.001;0.90371173620224;0.7680558562278748
45;0.7525224685668945;0.7792171835899353;0.001;0.9028220772743225;0.7687386870384216
46;0.7524950504302979;0.7779597043991089;0.001;0.9046186804771423;0.7680684924125671
47;0.7538926005363464;0.7783552408218384;0.001;0.9055497050285339;0.7672771215438843
48;0.7550594210624695;0.7791696190834045;0.001;0.9010719656944275;0.7695174813270569
49;0.7572059035301208;0.7769708633422852;0.001;0.9015343189239502;0.7486912608146667
50;0.7584870457649231;0.7786271572113037;0.001;0.9047846794128418;0.7660084366798401
51;0.7586069107055664;0.7777111530303955;0.001;0.9022147059440613;0.7670128345489502
52;0.7596390843391418;0.7772172093391418;0.001;0.9014507532119751;0.7675996422767639
53;0.7527643442153931;0.7769091725349426;0.001;0.9017201066017151;0.7678613066673279
54;0.7584857940673828;0.7771469354629517;0.001;0.9038985371589661;0.7687393426895142
55;0.7529243230819702;0.7772453427314758;0.001;0.9010254144668579;0.7688925266265869
56;0.758628785610199;0.7763033509254456;0.001;0.9018213748931885;0.7675235867500305
57;0.7560715079307556;0.776884913444519;0.001;0.903143584728241;0.7689095735549927
58;0.7542701959609985;0.7779677510261536;0.001;0.8989686369895935;0.7725569009780884
59;0.7567923069000244;0.7764483690261841;0.001;0.9000824689865112;0.770172119140625
60;0.7556508779525757;0.7769046425819397;0.000100000005;0.9024708271026611;0.7692254185676575
61;0.7594643235206604;0.7746087908744812;0.000100000005;0.9035622477531433;0.7685555815696716
62;0.7621550559997559;0.774577796459198;0.000100000005;0.9053633213043213;0.7674881815910339
63;0.7614978551864624;0.7744238972663879;0.000100000005;0.9055113792419434;0.7675966024398804
64;0.7604029178619385;0.7744402289390564;0.000100000005;0.9063090682029724;0.7670406699180603
65;0.7591732740402222;0.7739121913909912;0.000100000005;0.905942440032959;0.7671783566474915
66;0.7640860676765442;0.7735108733177185;0.000100000005;0.9042990803718567;0.7680467963218689
67;0.7643169164657593;0.7719898819923401;0.000100000005;0.9048986434936523;0.7675954699516296
68;0.7556928992271423;0.7741032838821411;0.000100000005;0.9060491323471069;0.7670063972473145
69;0.7596582174301147;0.7730302214622498;0.000100000005;0.9056426286697388;0.7668883800506592
70;0.7636488080024719;0.7726302742958069;1.0000001e-05;0.9053919911384583;0.7672126889228821
71;0.7599972486495972;0.7726791501045227;1.0000001e-05;0.9053342938423157;0.7673219442367554
72;0.7651013731956482;0.7736620903015137;1.0000001e-05;0.9056904911994934;0.7671806216239929
73;0.7668517827987671;0.7729718685150146;1.0000001e-05;0.9052698612213135;0.7673041820526123
74;0.7617983222007751;0.7732262015342712;1.0000001e-05;0.9050769805908203;0.7674720287322998
75;0.7570861577987671;0.7727255821228027;1.0000001e-05;0.9050097465515137;0.7676597237586975
